지역명,규모구분,연도,월,분양가격(제곱미터),제곱미터당분양가격,평당분양가격,전용면적
광주,모든면적,2015,11,"2,424",2424.0,7999.2,모든면적
광주,전용면적 60제곱미터이하,2015,11,2251,2251.0,7428.299999999999,60
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444,2444.0,8065.2,60~85
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  ,,,85~102
광주,전용면적 102제곱미터초과,2015,11,  ,,,102~
대전,모든면적,2015,11,"2,454",2454.0,8098.2,모든면적
대전,전용면적 60제곱미터이하,2015,11,2585,2585.0,8530.5,60
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428,2428.0,8012.4,60~85
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461,2461.0,8121.299999999999,85~102
대전,전용면적 102제곱미터초과,2015,11,  ,,,102~
울산,모든면적,2015,11,"3,043",3043.0,10041.9,모든면적
울산,전용면적 60제곱미터이하,2015,11,2584,2584.0,8527.199999999999,60
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048,3048.0,10058.4,60~85
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663,2663.0,8787.9,85~102
울산,전용면적 102제곱미터초과,2015,11,2874,2874.0,9484.199999999999,102~
세종,모든면적,2015,11,"2,648",2648.0,8738.4,모든면적
세종,전용면적 60제곱미터이하,2015,11,2572,2572.0,8487.6,60
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666,2666.0,8797.8,60~85
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644,2644.0,8725.199999999999,85~102
세종,전용면적 102제곱미터초과,2015,11,2749,2749.0,9071.699999999999,102~
강원,모든면적,2015,11,"2,171",2171.0,7164.299999999999,모든면적
강원,전용면적 60제곱미터이하,2015,11,2292,2292.0,7563.599999999999,60
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193,2193.0,7236.9,60~85
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061,2061.0,6801.299999999999,85~102
강원,전용면적 102제곱미터초과,2015,11,2171,2171.0,7164.299999999999,102~
충북,모든면적,2015,11,"2,004",2004.0,6613.2,모든면적
충북,전용면적 60제곱미터이하,2015,11,1921,1921.0,6339.299999999999,60
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2015,2015.0,6649.5,60~85
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,1868,1868.0,6164.4,85~102
충북,전용면적 102제곱미터초과,2015,11,2277,2277.0,7514.099999999999,102~
충남,모든면적,2015,11,"2,100",2100.0,6930.0,모든면적
충남,전용면적 60제곱미터이하,2015,11,2214,2214.0,7306.2,60
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2105,2105.0,6946.5,60~85
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2523,2523.0,8325.9,85~102
충남,전용면적 102제곱미터초과,2015,11,2468,2468.0,8144.4,102~
전북,모든면적,2015,11,"2,057",2057.0,6788.099999999999,모든면적
전북,전용면적 60제곱미터이하,2015,11,2129,2129.0,7025.7,60
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2057,2057.0,6788.099999999999,60~85
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2377,2377.0,7844.099999999999,85~102
전북,전용면적 102제곱미터초과,2015,11,2282,2282.0,7530.599999999999,102~
전남,모든면적,2015,11,"1,909",1909.0,6299.7,모든면적
전남,전용면적 60제곱미터이하,2015,11,1999,1999.0,6596.7,60
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,1906,1906.0,6289.799999999999,60~85
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2262,2262.0,7464.599999999999,85~102
전남,전용면적 102제곱미터초과,2015,11,2176,2176.0,7180.799999999999,102~
경북,모든면적,2015,11,"2,190",2190.0,7227.0,모든면적
경북,전용면적 60제곱미터이하,2015,11,2210,2210.0,7293.0,60
